ResultLeagueModel, Home Team, Away Team, 1, X, 2, 1X, X2
International - Esports-English Premier League (2x4min), Manchester City (Kraftvk), Tottenham Hotspur (Meltosik), 2,80, 2,60, 2,80, 1,38
International - Esports-English Premier League (2x4min), Manchester United (Kray), Manchester City (Kraftvk), 2,85, 2,85, 2,50, 1,46
International - Esports-English Premier League (2x4min), Tottenham Hotspur (Meltosik), Liverpool FC (Upcake22), 2,60, 2,50, 3,15, 1,32
International - Esports-English Premier League (2x4min), Liverpool FC (Upcake22), Tottenham Hotspur (Meltosik), 3,15, 2,50, 2,60, 1,43
International - Euro Playoffs Srl, sim/Slovakia, sim/Republic of Ireland, 2,21, 3,10, 3,25, 1,31
International - Euro Playoffs Srl, sim/Bulgaria, sim/Hungary, 3,25, 3,15, 2,18, 1,65
International - Euro Playoffs Srl, sim/Bosnia And Herzegowina, sim/Northern Ireland, 1,81, 3,30, 4,40, 1,19
International - Liga Pro, Ina Inactivetv Fifa, Team Ruspro R11 Fifa, 6,20, 5,20, 1,34, 2,75
International - Liga Pro, Rlb Royal Bears Fifa, Team Ruspro R11 Fifa, 2,90, 3,55, 2,10, 1,64
International - Liga Pro, Dnk FC Dimonchello Fifa, PSG Shemyakin Onze Fifa, 3,85, 4,10, 1,68, 2,02
International - Liga Pro, Ina Inactivetv Fifa, Dnk FC Dimonchello Fifa, 5,40, 5,40, 1,37, 2,65
International - Liga Pro, PSG Shemyakin Onze Fifa, Rlb Royal Bears Fifa, 2,27, 3,35, 2,75, 1,39
International - Polish Ekstraklasa SRL, sim/Skra Czestochowa, sim/KS Cracovia, 2,08, 3,30, 3,35, 1,29
International - Polish Ekstraklasa SRL, sim/KS Lechia Gdansk, sim/Legia Warszawa, 3,75, 3,60, 1,86, 1,88
International - Polish Ekstraklasa SRL, sim/WKS Slask Wroclaw, sim/KKS Lech Poznan, 2,55, 3,30, 2,55, 1,46
International - Polish Ekstraklasa SRL, sim/MKS Pogon Szczecin, sim/GKS Piast Gliwice, 2,39, 2,90, 3,10, 1,33
Israel - Premier League (Ligat ha`Al), Hapoel Haifa, Hapoel Be'er Sheva, 4,00, 3,40, 1,84, 1,90
